Area Code,Year Code,Value
12,1961,320
12,1962,350
12,1963,380
12,1964,400
12,1965,430
12,1966,460
12,1967,480
12,1968,500
12,1969,520
12,1970,540
12,1971,560
12,1972,575
12,1973,595
12,1974,610
12,1975,625
12,1976,640
12,1977,655
12,1978,459
12,1979,490
12,1980,520
12,1981,550
12,1982,580
12,1983,620
12,1984,640
12,1985,650
12,1986,650
12,1987,660
12,1988,660
12,1989,630
12,1990,600
12,1991,500
12,1992,400
12,1993,300
12,1994,139
12,1995,140
12,1996,147
12,1997,144
12,1998,141
12,1999,130
12,2000,115
12,2001,110
12,2002,115
12,2003,120
12,2004,125
12,2005,128
12,2006,130
12,2007,135
12,2008,147
12,2009,159
12,2010,172
12,2011,174
12,2012,176
12,2013,180
12,2014,184
12,2015,183
12,2016,193
12,2017,198
12,2018,203
12,2019,208
56,1961,20700
56,1962,20250
56,1963,20750
56,1964,20785
56,1965,21000
56,1966,21150
56,1967,21400
56,1968,21500
56,1969,23000
56,1970,25000
56,1971,26000
56,1972,27000
56,1973,27016
56,1974,28369
56,1975,29454
56,1976,14512
56,1977,15468
56,1978,16556
56,1979,14693
56,1980,16598
56,1981,13172
56,1982,12426
56,1983,10657
56,1984,19851
56,1985,13424
56,1986,14132
56,1987,21389
56,1988,27518
56,1989,31033
56,1990,38596
56,1991,47471
56,1992,25822
56,1993,24516
56,1994,21314
56,1995,30392
56,1996,16755
56,1997,15224
56,1998,20074
56,1999,23133
56,2000,25443
56,2001,20095
56,2002,26551
56,2003,26795
56,2004,22274
56,2005,17952
56,2006,24243
56,2007,19456
56,2008,17983
56,2009,26306
56,2010,23536
56,2011,24818
56,2012,27998
56,2013,26855
56,2014,24615
56,2015,20948
56,2016,21420
56,2017,22962
56,2018,24616
56,2019,25322
86,1961,750
86,1962,750
86,1963,760
86,1964,760
86,1965,770
86,1966,780
86,1967,750
86,1968,750
86,1969,700
86,1970,650
86,1971,520
86,1972,650
86,1973,673
86,1974,680
86,1975,700
86,1976,735
86,1977,795
86,1978,857
86,1979,771
86,1980,901
86,1981,829
86,1982,746
86,1983,645
86,1984,647
86,1985,630
86,1986,668
86,1987,560
86,1988,565
86,1989,500
86,1990,510
86,1991,520
86,1992,520
86,1993,550
86,1994,560
86,1995,570
86,1996,570
86,1997,580
86,1998,500
86,1999,500
86,2000,500
86,2001,500
86,2002,500
86,2003,500
86,2004,500
86,2005,500
86,2006,500
86,2007,530
86,2008,570
86,2009,670
86,2010,740
86,2011,799
86,2012,850
86,2013,800
86,2014,713
86,2015,616
86,2016,515
86,2017,400
86,2018,302
86,2019,472
93,1961,2800
93,1962,2850
93,1963,2900
93,1964,2950
93,1965,3000
93,1966,3050
93,1967,3100
93,1968,3150
93,1969,3200
93,1970,3250
93,1971,3300
93,1972,3350
93,1973,3500
93,1974,3600
93,1975,3700
93,1976,3800
93,1977,3600
93,1978,3796
93,1979,3800
93,1980,4000
93,1981,4100
93,1982,4200
93,1983,4300
93,1984,4300
93,1985,4300
93,1986,4300
93,1987,4000
93,1988,4000
93,1989,4000
93,1990,3900
93,1991,3800
93,1992,3000
93,1993,2083
93,1994,1245
93,1995,861
93,1996,1590
93,1997,1769
93,1998,371
93,1999,391
93,2000,421
93,2001,2700
93,2002,10100
93,2003,17500
93,2004,24900
93,2005,32300
93,2006,39700
93,2007,47100
93,2008,54500
93,2009,61900
93,2010,69300
93,2011,76700
93,2012,84103
93,2013,86907
93,2014,78332
93,2015,70846
93,2016,63804
93,2017,56006
93,2018,35036
93,2019,44868
109,1961,998
109,1962,1035
109,1963,1090
109,1964,1010
109,1965,870
109,1966,1600
109,1967,2260
109,1968,2497
109,1969,2038
109,1970,1996
109,1971,1887
109,1972,2903
109,1973,1764
109,1974,1720
109,1975,2143
109,1976,1370
109,1977,1038
109,1978,2062
109,1979,2454
109,1980,2351
109,1981,2543
109,1982,2210
109,1983,2104
109,1984,2150
109,1985,2139
109,1986,2513
109,1987,1849
109,1988,2138
109,1989,925
109,1990,1533
109,1991,1623
109,1992,1959
109,1993,1654
109,1994,1748
109,1995,1759
109,1996,1932
109,1997,1909
109,1998,1615
109,1999,1521
109,2000,1228
109,2001,1348
109,2002,1186
109,2003,954
109,2004,978
109,2005,584
109,2006,934
109,2007,868
109,2008,668
109,2009,847
109,2010,749
109,2011,965
109,2012,951
109,2013,957
109,2014,913
109,2015,835
109,2016,879
109,2017,752
109,2018,760
109,2019,677
177,1961,4989
177,1962,5262
177,1963,4989
177,1964,5262
177,1965,4209
177,1966,4989
177,1967,4264
177,1968,4400
177,1969,4264
177,1970,3175
177,1971,3402
177,1972,3130
177,1973,2948
177,1974,3447
177,1975,4309
177,1976,3856
177,1977,4090
177,1978,4672
177,1979,5489
177,1980,5216
177,1981,4853
177,1982,4323
177,1983,4536
177,1984,3629
177,1985,3311
177,1986,2413
177,1987,2495
177,1988,2268
177,1989,2041
177,1990,1814
177,1991,2177
177,1992,1497
177,1993,2119
177,1994,907
177,1995,590
177,1996,454
177,1997,750
177,1998,1062
177,1999,200
177,2000,100
177,2001,150
177,2002,350
177,2003,357
177,2004,192
177,2005,218
177,2006,225
177,2007,230
177,2008,209
177,2009,195
177,2010,173
177,2011,164
177,2012,155
177,2013,149
177,2014,141
177,2015,247
177,2016,188
177,2017,197
177,2018,210
177,2019,209
191,2010,172
191,2011,221
191,2012,223
191,2013,301
191,2014,214
191,2015,224
191,2016,204
191,2017,321
191,2018,350
191,2019,320
220,1961,1500
220,1962,1600
220,1963,2132
220,1964,2268
220,1965,2404
220,1966,2268
