Area Code,Year Code,Value
7,1961,90000
7,1962,100000
7,1963,125000
7,1964,140000
7,1965,150000
7,1966,125000
7,1967,145000
7,1968,140000
7,1969,145000
7,1970,147000
7,1971,150000
7,1972,155000
7,1973,160000
7,1974,160000
7,1975,160000
7,1976,161000
7,1977,162000
7,1978,162000
7,1979,162000
7,1980,165000
7,1981,165000
7,1982,165000
7,1983,165000
7,1984,170000
7,1985,170000
7,1986,170000
7,1987,170000
7,1988,170000
7,1989,165000
7,1990,164899
7,1991,170000
7,1992,180000
7,1994,180000
8,1961,106
8,1962,108
8,1963,110
8,1964,112
8,1965,114
8,1966,116
8,1967,118
8,1968,120
8,1969,123
8,1970,125
8,1971,128
8,1972,131
8,1973,139
8,1974,74
8,1975,153
8,1976,193
8,1977,72
8,1978,170
8,1979,279
8,1980,181
8,1981,321
8,1982,228
8,1983,353
8,1984,113
8,1985,101
8,1986,150
8,1987,182
8,1988,219
8,1989,180
8,1990,160
8,1991,170
8,1992,150
8,1993,151
8,1994,151
8,1995,140
8,1996,151
8,1997,152
8,1998,152
8,1999,153
8,2000,149
8,2001,145
8,2002,165
8,2003,175
8,2004,200
8,2005,229
8,2006,250
8,2007,262
8,2008,280
8,2009,269
8,2010,269
8,2011,268
8,2012,260
8,2013,268
8,2014,272
8,2015,279
8,2016,281
8,2017,284
8,2018,286
8,2019,289
10,1961,1485
10,1962,1753
10,1963,1714
10,1964,1672
10,1965,1832
10,1966,1439
10,1967,1829
10,1968,1496
10,1969,1456
10,1970,1352
10,1971,1465
10,1972,2801
10,1973,3114
10,1974,2902
10,1975,2220
10,1976,2858
10,1977,2896
10,1978,2539
10,1979,2812
10,1980,3814
10,1981,3900
10,1982,4000
10,1983,3405
10,1984,4403
10,1985,4622
10,1986,4279
10,1987,4682
10,1988,4538
10,1989,5755
10,1990,6089
10,1991,6620
10,1992,5931
10,1993,7564
10,1994,8359
10,1995,8011
10,1996,6623
10,1997,11000
10,1998,18000
10,1999,22000
10,2000,27000
10,2001,30000
10,2002,33000
10,2003,37000
10,2004,40000
10,2005,42000
10,2006,44293
10,2007,49131
10,2008,38407
10,2009,42460
10,2010,49804
10,2011,56877
10,2012,62535
10,2013,67869
10,2014,75287
10,2015,81385
10,2016,75441
10,2017,75599
10,2018,77254
10,2019,78910
12,1961,140
12,1962,160
12,1963,180
12,1964,200
12,1965,220
12,1966,230
12,1967,235
12,1968,240
12,1969,245
12,1970,250
12,1971,255
12,1972,260
12,1973,265
12,1974,270
12,1975,280
12,1976,290
12,1977,300
12,1978,310
12,1979,320
12,1980,330
12,1981,330
12,1982,340
12,1983,350
12,1984,350
12,1985,360
12,1986,360
12,1987,340
12,1988,320
12,1989,350
12,1990,324
12,1991,213
12,1992,216
12,1993,221
12,1994,240
12,1995,215
12,1996,213
12,1997,462
12,1998,460
12,1999,259
12,2000,812
12,2001,550
12,2002,835
12,2003,850
12,2004,880
12,2005,1026
12,2006,1149
12,2007,1166
12,2008,1249
12,2009,1332
12,2010,1416
12,2011,1499
12,2012,1583
12,2013,1666
12,2014,1729
12,2015,1836
12,2016,1866
12,2017,1936
12,2018,2006
12,2019,2080
13,1961,20
13,1962,20
13,1963,20
13,1964,20
13,1965,20
13,1966,20
13,1967,20
13,1968,20
13,1969,20
