Area Code,Year Code,Value
2,1961,15000
2,1962,15000
2,1963,15000
2,1964,18400
2,1965,20400
2,1966,22800
2,1967,27600
2,1968,27900
2,1969,28200
2,1970,27300
2,1971,21500
2,1972,26500
2,1973,27600
2,1974,27800
2,1975,28000
2,1976,26200
2,1977,15500
2,1978,22700
2,1979,21600
2,1980,22300
2,1981,22200
2,1982,21300
2,1983,20800
2,1984,20000
2,1985,19100
2,1986,19400
2,1987,16600
2,1988,16800
2,1989,17000
2,1990,16967
2,1991,15798
2,1992,17300
2,1993,17268
2,1994,17326
2,1995,17381
2,1996,17434
2,1997,17484
2,1998,17530
2,1999,17823
2,2000,17794
2,2001,17760
2,2002,17721
2,2003,21065
2,2004,16931
2,2005,15200
2,2006,10284
2,2007,8709
2,2008,8100
2,2009,6000
2,2010,4000
2,2011,8000
2,2012,8000
2,2013,9320
2,2014,9930
2,2015,8028
2,2016,22468
2,2017,22042
2,2018,23910
2,2019,43515
3,1961,2553
3,1962,2100
3,1963,2061
3,1964,2370
3,1965,2000
3,1966,2240
3,1967,2560
3,1968,2800
3,1969,3520
3,1970,3300
3,1971,4000
3,1972,5500
3,1973,5200
3,1974,5600
3,1975,6000
3,1976,9000
3,1977,8000
3,1978,9400
3,1979,9600
3,1980,10800
3,1981,9200
3,1982,12600
3,1983,13800
3,1984,12000
3,1985,13200
3,1986,13900
3,1987,9900
3,1988,13400
3,1989,15100
3,1990,10200
3,1991,11000
3,1992,12900
3,1993,13300
3,1994,13000
3,1995,3782
3,1996,3001
3,1997,3017
3,1998,2216
3,1999,2200
3,2000,2600
3,2001,2800
3,2002,3400
3,2003,4400
3,2004,6262
3,2005,6800
3,2006,5600
3,2007,6725
3,2008,8640
3,2009,10200
3,2010,13505
3,2011,15000
3,2012,18860
3,2013,19996
3,2014,21357
3,2015,29999
3,2016,40284
3,2017,41032
3,2018,45500
3,2019,46882
7,1961,70000
7,1962,70000
7,1963,70000
7,1964,72000
7,1965,75000
7,1966,75000
7,1967,78000
7,1968,80000
7,1969,81000
7,1970,82000
7,1971,82000
7,1972,83000
7,1973,84000
7,1974,85000
7,1975,75000
7,1976,80000
7,1977,85000
7,1978,80000
7,1979,80000
7,1980,80000
7,1981,78000
7,1982,78000
7,1983,79000
7,1984,78000
7,1985,76000
7,1986,77000
7,1987,79000
7,1988,80000
7,1989,78000
7,1990,76000
7,1991,78000
7,1992,80000
7,1993,78000
7,1994,79000
7,1995,80000
7,1996,82000
7,1997,80000
7,1998,82000
7,1999,75000
7,2000,78000
7,2001,92075
7,2002,96924
7,2003,102286
7,2004,107325
7,2005,104478
7,2006,111684
7,2007,91406
7,2008,106419
8,1966,10
8,1967,12
8,1968,17
8,1969,20
8,1970,27
8,1971,30
8,1972,54
8,1973,23
8,1974,15
8,1975,12
8,1976,16
8,1977,10
8,1978,12
8,1979,70
8,1980,14
8,1981,21
8,1982,15
8,1983,8
8,1984,143
8,1985,180
8,1986,200
8,1987,208
8,1988,249
8,1989,250
8,1990,270
8,1991,256
8,1992,280
8,1993,249
8,1994,243
8,1995,220
8,1996,236
8,1997,237
8,1998,239
8,1999,237
8,2000,225
8,2001,230
8,2002,250
8,2003,265
8,2004,285
8,2005,200
8,2006,300
8,2007,305
8,2008,318
8,2009,335
8,2010,379
8,2011,373
8,2012,420
8,2013,395
8,2014,405
8,2015,421
8,2016,436
8,2017,447
8,2018,458
8,2019,469
11,2018,0
11,2019,0
52,1992,15351
52,1993,13273
52,1994,12392
52,1995,12474
52,1996,12458
52,1997,12139
52,1998,15144
52,1999,27823
52,2000,24745
52,2001,23518
52,2002,25097
52,2003,25727
52,2004,26941
52,2005,26376
52,2006,26956
52,2007,28535
52,2008,18026
52,2009,21858
52,2010,23251
52,2011,23793
52,2012,31822
52,2013,40398
52,2014,36056
52,2015,40238
52,2016,51449
52,2017,47295
52,2018,49336
52,2019,51553
12,1961,250
12,1962,280
12,1963,300
12,1964,320
12,1965,340
12,1966,355
12,1967,360
12,1968,365
12,1969,370
12,1970,375
12,1971,380
12,1972,385
12,1973,390
12,1974,395
12,1975,400
12,1976,405
12,1977,410
12,1978,417
12,1979,350
12,1980,279
12,1981,280
12,1982,280
12,1983,290
12,1984,290
12,1985,300
12,1986,400
12,1987,500
12,1988,700
12,1989,1400
12,1990,2400
12,1991,2500
12,1992,3700
12,1993,6000
12,1994,9835
12,1995,16120
12,1996,15836
12,1997,19259
12,1998,19867
12,1999,21889
12,2000,19862
12,2001,20300
12,2002,20000
12,2003,21000
12,2004,24200
12,2005,23700
12,2006,25500
12,2007,30500
12,2008,28000
12,2009,22204
12,2010,27716
12,2011,27873
12,2012,27892
12,2013,28410
12,2014,29236
12,2015,30225
12,2016,30220
12,2017,30548
12,2018,30841
12,2019,31139
13,1961,400
13,1962,400
13,1963,400
13,1964,400
13,1965,400
13,1966,450
13,1967,450
13,1968,500
13,1969,600
13,1970,600
13,1971,600
13,1972,700
13,1973,700
13,1974,700
13,1975,700
13,1976,700
13,1977,796
13,1978,800
13,1979,800
13,1980,800
13,1981,800
13,1982,850
13,1983,850
13,1984,850
13,1985,850
13,1986,860
13,1987,870
13,1988,880
13,1989,900
13,1990,910
13,1991,920
13,1992,930
13,1993,940
13,1994,950
13,1995,960
13,1996,948
13,1997,950
13,1998,951
13,1999,952
13,2000,950
13,2001,970
13,2002,977
13,2003,985
13,2004,991
13,2005,998
13,2006,1000
13,2007,1004
13,2008,941
13,2009,1056
13,2010,1050
13,2011,1047
13,2012,1100
13,2013,1062
13,2014,1062
13,2015,1073
13,2016,1083
13,2017,1089
13,2018,1096
13,2019,1103
16,1961,18000
16,1962,24000
16,1963,26500
16,1964,31500
16,1965,29500
16,1966,20000
16,1967,21000
16,1968,21000
16,1969,21975
16,1970,23513
16,1971,21632
16,1972,18712
16,1973,19163
16,1974,18550
16,1975,18654
16,1976,19595
16,1977,19245
16,1978,17971
16,1979,18637
16,1980,18550
16,1981,18966
16,1982,19260
16,1983,22165
16,1984,24092
16,1985,24915
16,1986,24358
16,1987,24486
16,1988,21755
16,1989,22299
16,1990,23230
16,1991,23770
16,1992,25695
16,1993,26390
16,1994,28845
16,1995,30025
16,1996,33455
16,1997,35555
16,1998,35980
16,1999,37000
16,2000,41000
16,2001,44000
16,2002,44000
16,2003,47655
16,2004,49210
16,2005,110970
16,2006,119935
16,2007,110232
16,2008,120846
16,2009,126750
16,2010,135683
16,2011,136756
16,2012,147316
16,2013,150448
16,2014,154511
16,2015,156898
16,2016,155936
16,2017,161270
16,2018,160615
16,2019,165327
255,2018,0
255,2019,0
23,1961,44471
23,1962,32846
23,1963,37181
23,1964,44792
23,1965,43765
23,1966,47864
23,1967,37099
23,1968,38419
23,1969,44856
23,1970,32105
23,1971,47777
23,1972,51773
23,1973,53791
23,1974,60441
23,1975,52118
23,1976,47509
23,1977,34477
23,1978,38927
23,1979,27107
23,1980,60078
23,1981,64659
23,1982,68701
23,1983,37076
23,1984,57388
23,1985,59852
23,1986,75228
23,1987,105990
23,1988,85139
23,1989,91772
23,1990,109261
23,1991,77858
23,1992,141554
23,1993,167059
23,1994,112707
23,1995,171929
23,1996,171295
23,2016,146046
23,2017,137423
23,2018,106797
23,2019,94884
53,1961,10240
53,1962,10400
53,1963,10500
53,1964,10500
53,1965,10000
53,1966,10000
53,1967,10500
53,1968,10500
53,1969,11000
53,1970,11000
53,1971,10500
53,1972,10500
53,1973,11000
53,1974,11500
53,1975,12000
53,1976,12000
53,1977,12000
53,1978,12000
53,1979,12000
53,1980,12000
53,1981,12000
53,1982,12000
53,1983,12000
53,1984,12500
53,1985,12000
53,1986,12000
53,1987,12000
53,1988,12000
53,1989,12000
53,1990,10839
53,1991,9351
53,1992,9559
53,1993,9768
53,1994,9976
53,1995,10185
53,1996,10393
53,1997,10602
53,1998,10811
53,1999,11019
53,2000,11228
53,2001,11436
53,2002,11645
53,2003,11853
53,2004,12062
53,2005,12085
53,2006,12330
53,2007,12500
53,2008,12775
53,2009,13014
53,2010,13269
53,2011,13500
53,2012,14000
53,2013,14193
53,2014,14417
53,2015,14546
53,2016,14746
